company,top_topic,P_0,RD_0,P_1,RD_1,P_2,RD_2,P_3,RD_3,P_4,RD_4,P_5,RD_5,P_6,RD_6,year
丽江股份,5,0.000368 ,0.000368 ,0.000204 ,0.000204 ,0.000260 ,0.000260 ,0.000316 ,0.000316 ,0.000327 ,0.000327 ,0.998193 ,1.990109 ,0.000332 ,0.000332 ,2024
云南能投,2,0.000069 ,0.000069 ,0.000038 ,0.000038 ,0.554736 ,0.592823 ,0.249395 ,0.252217 ,0.085894 ,0.086002 ,0.109805 ,0.110032 ,0.000062 ,0.000063 ,2024
德美化工,5,0.333723 ,0.340784 ,0.000039 ,0.000039 ,0.000049 ,0.000049 ,0.068655 ,0.068710 ,0.198499 ,0.199891 ,0.398972 ,0.411523 ,0.000063 ,0.000063 ,2024
横店东磁,4,0.391869 ,0.403707 ,0.000031 ,0.000031 ,0.000040 ,0.000040 ,0.044838 ,0.044853 ,0.563119 ,0.603274 ,0.000052 ,0.000052 ,0.000051 ,0.000051 ,2024
云南旅游,5,0.000397 ,0.000397 ,0.307586 ,0.313036 ,0.084165 ,0.084267 ,0.000341 ,0.000341 ,0.000353 ,0.000353 ,0.606802 ,0.659301 ,0.000358 ,0.000358 ,2024
远光软件,6,0.000050 ,0.000050 ,0.101109 ,0.101286 ,0.178175 ,0.179173 ,0.000043 ,0.000043 ,0.160328 ,0.161050 ,0.000046 ,0.000046 ,0.560248 ,0.599685 ,2024
华峰化学,3,0.000102 ,0.000102 ,0.018121 ,0.018122 ,0.000072 ,0.000072 ,0.933805 ,1.312418 ,0.000090 ,0.000090 ,0.047718 ,0.047737 ,0.000092 ,0.000092 ,2024
中材科技,3,0.000095 ,0.000095 ,0.000053 ,0.000053 ,0.000067 ,0.000067 ,0.749581 ,0.869040 ,0.000085 ,0.000085 ,0.000088 ,0.000088 ,0.250032 ,0.252877 ,2024
ST中泰,5,0.000062 ,0.000062 ,0.000035 ,0.000035 ,0.000044 ,0.000044 ,0.474319 ,0.496560 ,0.000055 ,0.000055 ,0.525429 ,0.556951 ,0.000056 ,0.000056 ,2024
易普力,2,0.000050 ,0.000050 ,0.000028 ,0.000028 ,0.999741 ,2.225743 ,0.000043 ,0.000043 ,0.000045 ,0.000045 ,0.000046 ,0.000046 ,0.000046 ,0.000046 ,2024
莱宝高科,5,0.000156 ,0.000156 ,0.000087 ,0.000087 ,0.000110 ,0.000110 ,0.000134 ,0.000134 ,0.232112 ,0.234370 ,0.767259 ,0.899279 ,0.000141 ,0.000141 ,2024
罗平锌电,3,0.086007 ,0.086115 ,0.000054 ,0.000054 ,0.000068 ,0.000068 ,0.913608 ,1.238045 ,0.000086 ,0.000086 ,0.000089 ,0.000089 ,0.000087 ,0.000088 ,2024
东港股份,5,0.000169 ,0.000169 ,0.118568 ,0.118855 ,0.000119 ,0.000119 ,0.000145 ,0.000145 ,0.000150 ,0.000150 ,0.506755 ,0.534590 ,0.374095 ,0.384280 ,2024
康强电子,0,0.396574 ,0.408880 ,0.000068 ,0.000068 ,0.000087 ,0.000087 ,0.000105 ,0.000105 ,0.000109 ,0.000109 ,0.369208 ,0.378970 ,0.233849 ,0.236159 ,2024
科陆电子,6,0.439653 ,0.456917 ,0.000044 ,0.000044 ,0.000055 ,0.000055 ,0.000067 ,0.000067 ,0.000070 ,0.000070 ,0.000072 ,0.000072 ,0.560039 ,0.599424 ,2024
ST天邦,0,0.422746 ,0.437915 ,0.000038 ,0.000038 ,0.000049 ,0.000049 ,0.396293 ,0.408572 ,0.180748 ,0.181791 ,0.000064 ,0.000064 ,0.000062 ,0.000062 ,2024
安 纳 达,3,0.180619 ,0.181661 ,0.000029 ,0.000029 ,0.000037 ,0.000037 ,0.746527 ,0.863943 ,0.000047 ,0.000047 ,0.000049 ,0.000049 ,0.072691 ,0.072756 ,2024
顺络电子,4,0.000213 ,0.000213 ,0.000118 ,0.000118 ,0.147361 ,0.147919 ,0.027186 ,0.027190 ,0.691672 ,0.777760 ,0.000196 ,0.000196 ,0.133253 ,0.133664 ,2024
